premio_effet_anno_incorso,eta_polizza,bonus_malus
368.68,10,01
378.03,11,1A
387.38,7,1B
364.44,6,1F
399.8,7,1G
409.97,7,1H
490.2285,6,04
509.7264,7,03
522.2175,7,02
342.31,8,1D
354.05,9,1E
361.36,6,1F
351.62,6,1D
357.7,7,1E
365.03,6,1F
305.35,7,1F
313.4,8,1G
319.9,6,1H
609.7291,17,03
586.9661,18,02
598.5796,6,01
182.54,8,1F
193.48,9,1G
197.54,6,1H
381.1808,7,1E
381.1808,8,1E
346.3096,10,1E
369.876,11,1F
374.81326,12,1G
379.6416,9,1C
408.1064,10,1D
403.7899,11,1D
411.38,8,1B
410.09,9,1C
418.63,10,1D
519.27,7,1F
540.0,8,1G
540.0,9,1H
289.6816,9,1F
321.3912,10,1G
326.01807,11,1H
319.33,6,1E
330.87,7,1F
337.79,8,1G
308.87,9,1E
321.07,10,1F
329.2,11,1G
656.7383,7,03
673.002,7,02
689.3991,8,01
460.1525,13,02
456.8874,14,01
466.18845,15,1A
566.6442,14,1A
589.4072,15,1B
588.8349599999999,16,1C
415.4,10,1F
423.15,11,1G
432.09,6,1H
324.3676,6,1D
335.7491,7,1E
348.39883,6,1F
554.4387,9,1C
568.2613,10,1D
581.4981700000001,11,1E
378.7104,4,1D
401.4631,5,1E
410.80768,6,1F
361.36,7,1F
383.72,7,1G
393.48,7,1H
355.865,7,1C
370.5013,8,1D
379.0733,9,1E
366.08,7,1F
378.07,8,1G
386.2,6,1H
413.6583,12,02
399.8357,13,01
407.5869,6,1A
481.85,6,1B
491.08,7,1C
501.24,6,1D
156.66,30,1F
186.97,31,1G
191.03,6,1H
313.4,17,1F
341.03,7,1G
349.58,8,1H
334.9251,5,1C
330.8669,6,1D
330.5457,7,1D
323.1,6,1D
315.83,7,1E
322.34,7,1F
623.5517,7,03
607.288,8,02
619.7049599999999,7,01
301.5896,7,1D
298.3448,8,1E
306.4465,9,1F
299.1664,6,1F
305.656,7,1G
313.69064,8,1H
377.01,9,1F
393.89,10,1G
408.93,7,1H
345.91,7,1B
345.91,8,1C
360.55,7,1D
403.2038,6,1D
412.9682,7,1E
428.01254000000006,6,1F
338.1902,7,02
338.1902,8,01
351.65045,6,1A
493.59,11,01
486.97,12,1A
556.08,6,01
358.53,9,1B
369.09,10,1C
383.32,6,1D
340.63,12,02
349.17,13,01
363.8,14,1A
465.0038,12,04
465.0038,13,03
484.05188,6,02
302.408,6,1C
308.1142,7,1D
319.17523,6,1E
523.71,8,03
511.11,9,02
530.63,10,01
418.0667,7,1E
435.1441,8,1F
445.27917,7,1G
407.3959,9,1C
407.3959,10,1D
415.13977,11,1E
436.51,7,03
426.38,8,02
435.32,7,01
448.8,7,1E
464.49,8,1F
474.25,6,1G
776.7848,4,09
741.0026,5,08
755.7388,6,07
515.2884,7,02
516.1021,8,01
515.601,6,01
306.69,4,1D
315.22,5,1E
321.73,6,1F
308.72,9,1E
325.1,10,1F
337.29,11,1G
246.84,11,1F
254.85,12,1G
260.14,6,1H
413.98,6,1C
416.66,7,1D
425.2,6,1E
330.5432,7,1F
340.3088,8,1G
352.77206,9,1H
256.38,7,1F
265.27,8,1G
275.43,9,1H
321.61,7,1F
335.29,8,1G
347.89,9,1H
317.46,7,1F
355.67,8,1G
355.67,9,1H
317.37,6,01
325.1,7,1A
338.92,8,1B
373.7448,6,04
364.7904,7,03
374.61773999999997,8,02
338.2,5,1E
337.38,6,1F
367.87,7,1E
247.53,12,1E
250.24,13,1F
259.59,14,1G
229.03,5,1F
245.14,6,1G
256.53,7,1H
369.01,15,1B
355.71,16,1C
372.38,7,1D
361.1,13,1E
383.04,14,1F
402.56,7,1G
448.39,6,04
459.79,7,03
459.81,7,02
243.79,10,1F
273.05,11,1G
284.44,7,1H
494.9665,13,1E
514.4747,14,1F
533.47473,7,1G
303.46,10,1F
304.9,11,1G
316.69,6,1H
418.2418,6,1D
415.0076,7,1E
430.0191,6,1F
581.09,8,06
571.95,9,05
593.5,6,04
366.26,14,1F
401.2,15,1G
437.38,6,1F
